Zeit:;SDP1_01_330SY_RPM.Current_Value;SDP1_08_111TT.PV;SDP1_01_340TT.PV;SDP1_01_346PT.PV;SDP1_01_310SY_RPM.Current_Value;SDP1_01_326PT.PV;SDP1_01_370SY_RPM.Current_Value;SDP1_01_386PT.PV;SDP1_01_340TIC.SP;SDP1_56_665FT.PV;SDP1_56_461DT.PV;SDP1_56_361DT.PV;SDP1_02_230SY.PV;SDP1_08_110TT.PV;SDP1_56_565FT.PV
04.12.2021 19:12:47.073;30;74,4;94,9;218;30,0;219;30,0;222;92,92;0;1,0786;0,9957;88,8;78;4594,07
04.12.2021 19:13:40.520;;;;;;;;;;;;;88,0;;
04.12.2021 19:13:46.598;;;95,1;;;;;;;;;;;;
04.12.2021 19:14:01.176;;;;;;;30,2;;;;;;;;
04.12.2021 19:14:01.442;30;;;;30,2;;;;;;;;;;
04.12.2021 19:14:04.676;;;;;;;;225;;;;;;;
04.12.2021 19:14:05.661;;;;221;;;;;;;;;;;
04.12.2021 19:14:05.942;;;;;;223;;;;;;;;;
04.12.2021 19:14:06.911;;;;;;;;;;;;;;;4605,52
04.12.2021 19:14:10.598;;;;;;;;;;;1,1038;;;;
04.12.2021 19:15:12.145;;;92,6;;;;;;;;;;;;
04.12.2021 19:15:22.567;;74,2;;;;;;;;;;;;;
04.12.2021 19:15:37.708;;;;;;;27,8;;;;;;;;
04.12.2021 19:15:37.942;28;;;;27,8;;;;;;;;;;
04.12.2021 19:15:51.692;;;;;;;;190;;;;;;;
04.12.2021 19:15:54.942;;;;;;185;;;;;;;;;
04.12.2021 19:15:56.911;;;;;;;;;;;;;;;4237,59
04.12.2021 19:15:57.223;;;;185;;;;;;;;;;;
04.12.2021 19:15:57.567;;;;;;;;;;;;;;77;
04.12.2021 19:16:35.427;;74,3;;;;;;;;;;;;;
04.12.2021 19:16:41.911;;;;;;;;;;;;;;77;
04.12.2021 19:16:44.177;;;;;;;28,4;;;;;;;;
04.12.2021 19:16:44.459;28;;;;28,4;;;;;;;;;;
04.12.2021 19:16:48.068;;;94,4;;;;;;;;;;;;
04.12.2021 19:16:49.662;;;;193;;;;198;;;;;;;
04.12.2021 19:16:50.443;;;;;;;;;;;;;;;4314,23
04.12.2021 19:16:50.975;;;;;;194;;;;;;;;;
04.12.2021 19:16:51.943;;;;;;;;;;;;;;;4316,35
04.12.2021 19:16:51.975;;;;;;195;;;;;;;;;
04.12.2021 19:16:52.147;;;;194;;;;;;;;;;;
04.12.2021 19:16:54.615;;74,4;;;;;;;;;;;;;
04.12.2021 19:17:03.943;28;;;;28,3;;;;;;;;;;
04.12.2021 19:17:04.162;;;;;;;;198;;;;;;;
04.12.2021 19:17:04.178;;;;;;;28,2;;;;;;;;
04.12.2021 19:17:12.490;;;;;;;;;;;;;;77;
04.12.2021 19:17:17.084;;;94,5;;;;;;;;;;;;
04.12.2021 19:17:47.073;;;;;;;;;;0;;;;;
04.12.2021 19:17:55.506;;;;;;;;;;;;;94,0;;
04.12.2021 19:17:58.069;;;94,3;;;;;;;;;;;;
04.12.2021 19:17:59.444;28;;;;28,0;;;;;;;;;;
04.12.2021 19:17:59.662;;;;;;;28,0;;;;;;;;
